combination,quantity,population,recordings_per_model,models,mean_sensitivity,min_sensitivity,max_sensitivity,M_secondary_diagnostic
D+R+F+H,200,locked_test,53,5,0.7283018867924528,0.7169811320754716,0.7547169811320755,False
D+R+F+H,25,all_eligible,276,5,0.7007246376811594,0.532608695652174,0.8152173913043478,False
D+R+F+H,25,development,223,5,0.7004484304932735,0.5426008968609866,0.8251121076233184,False
D+R+F+H,25,locked_test,53,5,0.7018867924528303,0.49056603773584906,0.8301886792452831,False
D+R+F+H,50,all_eligible,276,5,0.6413043478260869,0.5108695652173914,0.7644927536231884,False
D+R+F+H,50,development,223,5,0.6502242152466368,0.5201793721973094,0.7757847533632287,False
D+R+F+H,50,locked_test,53,5,0.6037735849056604,0.4716981132075472,0.7358490566037735,False
D+R+F+H,all,all_eligible,276,5,0.7333333333333334,0.7065217391304348,0.7608695652173914,False
D+R+F+H,all,development,223,5,0.7399103139013453,0.7174887892376681,0.7713004484304933,False
D+R+F+H,all,locked_test,53,5,0.7056603773584905,0.660377358490566,0.7358490566037735,False
D+R+F+H+M,100,all_eligible,276,5,0.653623188405797,0.572463768115942,0.7391304347826086,True
D+R+F+H+M,100,development,223,5,0.6672645739910315,0.5874439461883408,0.7354260089686099,True
D+R+F+H+M,100,locked_test,53,5,0.5962264150943396,0.5094339622641509,0.7547169811320755,True
D+R+F+H+M,200,all_eligible,276,5,0.7376811594202899,0.6992753623188406,0.782608695652174,True
D+R+F+H+M,200,development,223,5,0.7497757847533633,0.7085201793721974,0.7892376681614349,True
D+R+F+H+M,200,locked_test,53,5,0.6867924528301886,0.660377358490566,0.7547169811320755,True
D+R+F+H+M,25,all_eligible,276,5,0.6043478260869566,0.4311594202898551,0.7101449275362319,True
D+R+F+H+M,25,development,223,5,0.6035874439461884,0.452914798206278,0.7130044843049327,True
D+R+F+H+M,25,locked_test,53,5,0.6075471698113207,0.33962264150943394,0.6981132075471698,True
D+R+F+H+M,50,all_eligible,276,5,0.5746376811594203,0.4855072463768116,0.6884057971014492,True
D+R+F+H+M,50,development,223,5,0.579372197309417,0.49327354260089684,0.6860986547085202,True
D+R+F+H+M,50,locked_test,53,5,0.5547169811320755,0.4339622641509434,0.6981132075471698,True
D+R+F+H+M,all,all_eligible,276,5,0.6920289855072463,0.6521739130434783,0.7210144927536232,True
D+R+F+H+M,all,development,223,5,0.7040358744394619,0.672645739910314,0.7309417040358744,True
D+R+F+H+M,all,locked_test,53,5,0.6415094339622641,0.5660377358490566,0.6792452830188679,True
D+R+F+M,100,all_eligible,276,5,0.6253623188405797,0.5652173913043478,0.6920289855072463,True
D+R+F+M,100,development,223,5,0.6260089686098654,0.5695067264573991,0.6771300448430493,True
D+R+F+M,100,locked_test,53,5,0.6226415094339622,0.5471698113207547,0.7547169811320755,True
